HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
HGNC:1709	NM_001769	NP_001760	ENST00000009180	CD9	928	ENSG00000010278
HGNC:24305	NM_014865	NP_055680	ENST00000315579	NCAPD2	9918	ENSG00000010292
HGNC:4271	NM_000164	NP_000155	ENST00000590918	GIPR	2696	ENSG00000010310
HGNC:18458	NM_016483	NP_057567	ENST00000327906	PHF7	51533	ENSG00000010318
HGNC:30400	NM_020163	NP_064548	ENST00000231721	SEMA3G	56920	ENSG00000010319
HGNC:18006	NM_007184	NP_009115	ENST00000345716	NISCH	11188	ENSG00000010322
HGNC:18628	NM_015136	NP_055951	ENST00000321725	STAB1	23166	ENSG00000010327
HGNC:26219	NM_025129	NP_079405	ENST00000313777	FUZ	80199	ENSG00000010361
HGNC:11046	NM_016615	NP_057699	ENST00000343164	SLC6A13	6540	ENSG00000010379
HGNC:5389	NM_000202	NP_000193	ENST00000340855	IDS	3423	ENSG00000010404
HGNC:1678	NM_000616	NP_000607	ENST00000011653	CD4	920	ENSG00000010610
HGNC:19138	NM_001135217	NP_001128689	ENST00000443597	LRRC23	10233	ENSG00000010626
HGNC:4037	NM_002037	NP_002028	ENST00000354650	FYN	2534	ENSG00000010810
HGNC:4921	NM_006734	NP_006725	ENST00000367603	HIVEP2	3097	ENSG00000010818
HGNC:6738	NM_007260	NP_009191	ENST00000374514	LYPLA2	11313	ENSG00000011009
HGNC:16875	NM_006039	NP_006030	ENST00000303375	MRC2	9902	ENSG00000011028
HGNC:11054	NM_014228	NP_055043	ENST00000230671	SLC6A7	6534	ENSG00000011083
HGNC:21640	NM_006675	NP_006666	ENST00000011898	TSPAN9	10867	ENSG00000011105
HGNC:18269	NM_001002860	NP_001002860	ENST00000334746	BTBD7	55727	ENSG00000011114
HGNC:580	NM_004886	NP_004877	ENST00000316757	APBA3	9546	ENSG00000011132
HGNC:21396	NM_016006	NP_057090	ENST00000644371	ABHD5	51099	ENSG00000011198
HGNC:6211	NM_000216	NP_000207	ENST00000262648	ANOS1	3730	ENSG00000011201
HGNC:29857	NM_014371	NP_055186	ENST00000397410	AKAP8L	26993	ENSG00000011243
HGNC:19866	NM_017643	NP_060113	ENST00000586178	MBTD1	54799	ENSG00000011258
HGNC:24274	NM_016001	NP_057085	ENST00000225298	UTP18	51096	ENSG00000011260
HGNC:26006	NM_017775	NP_060245	ENST00000261647	TTC19	54902	ENSG00000011295
HGNC:9583	NM_002819	NP_002810	ENST00000356948	PTBP1	5725	ENSG00000011304
HGNC:17095	NM_015340	NP_056155	ENST00000645846	LARS2	23395	ENSG00000011376
HGNC:9053	NM_002659	NP_002650	ENST00000340093	PLAUR	5329	ENSG00000011422
HGNC:14082	NM_018685	NP_061155	ENST00000265748	ANLN	54443	ENSG00000011426
HGNC:17155	NM_012197	NP_036329	ENST00000373647	RABGAP1	23637	ENSG00000011454
HGNC:2705	NM_001920	NP_001911	ENST00000052754	DCN	1634	ENSG00000011465
HGNC:25952	NM_017659	NP_060129	ENST00000012049	QPCTL	54814	ENSG00000011478
HGNC:9322	NM_006247	NP_006238	ENST00000012443	PPP5C	5536	ENSG00000011485
HGNC:29076	NM_015147	NP_055962	ENST00000377990	CEP68	23177	ENSG00000011523
HGNC:6865	NM_003618	NP_003609	ENST00000263881	MAP4K3	8491	ENSG00000011566
HGNC:4077	NM_000808	NP_000799	ENST00000370314	GABRA3	2556	ENSG00000011677
HGNC:1643	NM_001771	NP_001762	ENST00000085219	CD22	933	ENSG00000012124
HGNC:10724	NM_001290060	NP_001276989	ENST00000616701	SEMA3B	7869	ENSG00000012171
HGNC:15455	NM_015884	NP_056968	ENST00000379484	MBTPS2	51360	ENSG00000012174
HGNC:6645	NM_006150	NP_006141	ENST00000599218	PRICKLE3	4007	ENSG00000012211
HGNC:3518	NM_001440	NP_001431	ENST00000220562	EXTL3	2137	ENSG00000012232
HGNC:21308	NM_021814	NP_068586	ENST00000304434	ELOVL5	60481	ENSG00000012660
HGNC:435	NM_000698	NP_000689	ENST00000374391	ALOX5	240	ENSG00000012779
HGNC:29306	NM_020898	NP_065949	ENST00000550804	CALCOCO1	57658	ENSG00000012822
HGNC:20344	NM_175748	NP_786924	ENST00000013070	UBR7	55148	ENSG00000012963
HGNC:3244	NM_014600	NP_055415	ENST00000322054	EHD3	30845	ENSG00000013016
HGNC:9551	NM_006503	NP_006494	ENST00000157812	PSMC4	5704	ENSG00000013275
HGNC:29623	NM_015274	NP_056089	ENST00000285599	MAN2B2	23324	ENSG00000013288
HGNC:29326	NM_020949	NP_066000	ENST00000231706	SLC7A14	57709	ENSG00000013293
HGNC:24279	NM_001143780	NP_001137252	ENST00000377095	SLC25A39	51629	ENSG00000013306
HGNC:7531	NM_005115	NP_005106	ENST00000357402	MVP	9961	ENSG00000013364
HGNC:8907	NM_015599	NP_056414	ENST00000513973	PGM3	5238	ENSG00000013375
HGNC:21385	NM_033411	NP_219479	ENST00000369724	RWDD2A	112611	ENSG00000013392
HGNC:2068	NM_004071	NP_004062	ENST00000321356	CLK1	1195	ENSG00000013441
HGNC:30348	NM_018082	NP_060552	ENST00000228347	POLR3B	55703	ENSG00000013503
HGNC:10058	NM_004290	NP_004281	ENST00000394520	RNF14	9604	ENSG00000013561
HGNC:2957	NM_001303620	NP_001290549	ENST00000369807	DNASE1L1	1774	ENSG00000013563
HGNC:2736	NM_030653	NP_085911	ENST00000542838	DDX11	1663	ENSG00000013573
HGNC:17176	NM_015987	NP_057071	ENST00000014930	HEBP1	50865	ENSG00000013583
HGNC:2568	NM_001177465	NP_001170936	ENST00000432680	MAMLD1	10046	ENSG00000013619
HGNC:11524	NM_006342	NP_006333	ENST00000313288	TACC3	10460	ENSG00000013810
HGNC:23039	NM_015323	NP_056138	ENST00000369278	UFL1	23376	ENSG00000014123
HGNC:30073	NM_002689	NP_002680	ENST00000265465	POLA2	23649	ENSG00000014138
HGNC:28972	NM_015117	NP_055932	ENST00000262577	ZC3H3	23144	ENSG00000014164
HGNC:125	NM_001099	NP_001090	ENST00000336375	ACP3	55	ENSG00000014257
HGNC:6970	NM_005917	NP_005908	ENST00000233114	MDH1	4190	ENSG00000014641
HGNC:1329	NM_006345	NP_006336	ENST00000264451	SLC30A9	10463	ENSG00000014824
HGNC:24307	NM_001145862	NP_001139334	ENST00000439741	MTMR11	10903	ENSG00000014914
HGNC:19967	NM_001080414	NP_001073883	ENST00000389857	CCDC88C	440193	ENSG00000015133
HGNC:6912	NM_018834	NP_061322	ENST00000394805	MATR3	9782	ENSG00000015479
HGNC:15517	NM_022167	NP_071450	ENST00000017003	XYLT2	64132	ENSG00000015532
HGNC:32418	NM_005054	NP_005045	ENST00000016946	RGPD5	84220	ENSG00000015568
HGNC:22208	NM_015332	NP_056147	ENST00000355451	NUDCD3	23386	ENSG00000015676
HGNC:24288	NM_018397	NP_060867	ENST00000315251	CHDH	55349	ENSG00000016391
HGNC:18070	NM_033518	NP_277053	ENST00000620913	SLC38A5	92745	ENSG00000017483
HGNC:9841	NM_006788	NP_006779	ENST00000383432	RALBP1	10928	ENSG00000017797
HGNC:30285	NM_001037442	NP_001032519	ENST00000381006	RUFY3	22902	ENSG00000018189
HGNC:2171	NM_001843	NP_001834	ENST00000551295	CNTN1	1272	ENSG00000018236
HGNC:10907	NM_000578	NP_000569	ENST00000233202	SLC11A1	6556	ENSG00000018280
HGNC:25986	NM_017735	NP_060205	ENST00000317907	TTC27	55622	ENSG00000018699
HGNC:23697	NM_001144758	NP_001138230	ENST00000600882	PHLDB1	23187	ENSG00000019144
HGNC:2602	NM_000782	NP_000773	ENST00000216862	CYP24A1	1591	ENSG00000019186
HGNC:14962	NM_020826	NP_065877	ENST00000020926	SYT13	57586	ENSG00000019505
HGNC:11094	NM_003068	NP_003059	ENST00000020945	SNAI2	6591	ENSG00000019549
HGNC:4893	NM_000601	NP_000592	ENST00000222390	HGF	3082	ENSG00000019991
HGNC:18224	NM_017580	NP_060050	ENST00000359653	ZRANB1	54764	ENSG00000019995
HGNC:17597	NM_014284	NP_055099	ENST00000373243	NCDN	23154	ENSG00000020129
HGNC:17849	NM_032777	NP_116166	ENST00000412232	ADGRA2	25960	ENSG00000020181
HGNC:15940	NM_018197	NP_060667	ENST00000216923	ZFP64	55734	ENSG00000020256
HGNC:7181	NM_002431	NP_002422	ENST00000261245	MNAT1	4331	ENSG00000020426
HGNC:19079	NM_021200	NP_067023	ENST00000354190	PLEKHB1	58473	ENSG00000021300
HGNC:3311	NM_030666	NP_109591	ENST00000380739	SERPINB1	1992	ENSG00000021355
